,input,target,contact_vertex,train_sample
0,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_z_angle0.ply,14869,True
1,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_y_angle0.ply,14869,True
2,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_x_angle0.ply,14869,True
3,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_z_angle90.ply,14869,True
4,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_y_angle90.ply,14869,True
5,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_x_angle90.ply,14869,True
6,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_z_angle180.ply,14869,True
7,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_y_angle180.ply,14869,True
8,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_x_angle180.ply,14869,True
9,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_z_angle270.ply,14869,True
10,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_y_angle270.ply,14869,True
11,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher2_x_angle270.ply,14869,True
12,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_z_angle0.ply,14869,True
13,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_y_angle0.ply,14869,True
14,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_x_angle0.ply,14869,True
15,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_z_angle90.ply,14869,True
16,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_y_angle90.ply,14869,True
17,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_x_angle90.ply,14869,True
18,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_z_angle180.ply,14869,True
19,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_y_angle180.ply,14869,True
20,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_x_angle180.ply,14869,True
21,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_z_angle270.ply,14869,True
22,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_y_angle270.ply,14869,True
23,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher3_x_angle270.ply,14869,True
24,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_z_angle0.ply,14869,True
25,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_y_angle0.ply,14869,True
26,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle0.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_x_angle0.ply,14869,True
27,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_z_angle90.ply,14869,True
28,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_y_angle90.ply,14869,True
29,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle90.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_x_angle90.ply,14869,True
30,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_z_angle180.ply,14869,True
31,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_y_angle180.ply,14869,True
32,./data/cube/side_center_bottom_Rotated/cube_crusher1_x_angle180.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_x_angle180.ply,14869,True
33,./data/cube/side_center_bottom_Rotated/cube_crusher1_z_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_z_angle270.ply,14869,True
34,./data/cube/side_center_bottom_Rotated/cube_crusher1_y_angle270.ply,./data/cube/side_center_bottom_Rotated/cube_crusher4_y_angle270.ply,14869,True
