,input,target,contact_vertex,train_sample
0,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/1_z_angle0.stl,64,True
1,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/1_y_angle0.stl,64,True
2,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/1_x_angle0.stl,64,True
3,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/1_z_angle90.stl,64,True
4,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/1_y_angle90.stl,64,True
5,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/1_x_angle90.stl,64,True
6,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/1_z_angle180.stl,64,True
7,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/1_y_angle180.stl,64,True
8,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/1_x_angle180.stl,64,True
9,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/1_z_angle270.stl,64,True
10,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/1_y_angle270.stl,64,True
11,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/1_x_angle270.stl,64,True
12,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/2_z_angle0.stl,64,True
13,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/2_y_angle0.stl,64,True
14,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/2_x_angle0.stl,64,True
15,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/2_z_angle90.stl,64,True
16,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/2_y_angle90.stl,64,True
17,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/2_x_angle90.stl,64,True
18,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/2_z_angle180.stl,64,True
19,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/2_y_angle180.stl,64,True
20,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/2_x_angle180.stl,64,True
21,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/2_z_angle270.stl,64,True
22,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/2_y_angle270.stl,64,True
23,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/2_x_angle270.stl,64,True
24,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/3_z_angle0.stl,64,True
25,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/3_y_angle0.stl,64,True
26,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/3_x_angle0.stl,64,True
27,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/3_z_angle90.stl,64,True
28,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/3_y_angle90.stl,64,True
29,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/3_x_angle90.stl,64,True
30,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/3_z_angle180.stl,64,True
31,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/3_y_angle180.stl,64,True
32,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/3_x_angle180.stl,64,True
33,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/3_z_angle270.stl,64,True
34,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/3_y_angle270.stl,64,True
35,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/3_x_angle270.stl,64,True
36,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/4_z_angle0.stl,64,True
37,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/4_y_angle0.stl,64,True
38,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/4_x_angle0.stl,64,True
39,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/4_z_angle90.stl,64,True
40,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/4_y_angle90.stl,64,True
41,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/4_x_angle90.stl,64,True
42,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/4_z_angle180.stl,64,True
43,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/4_y_angle180.stl,64,True
44,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/4_x_angle180.stl,64,True
45,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/4_z_angle270.stl,64,True
46,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/4_y_angle270.stl,64,True
47,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/4_x_angle270.stl,64,True
48,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/5_z_angle0.stl,64,True
49,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/5_y_angle0.stl,64,True
50,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/5_x_angle0.stl,64,True
51,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/5_z_angle90.stl,64,True
52,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/5_y_angle90.stl,64,True
53,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/5_x_angle90.stl,64,True
54,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/5_z_angle180.stl,64,True
55,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/5_y_angle180.stl,64,True
56,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/5_x_angle180.stl,64,True
57,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/5_z_angle270.stl,64,True
58,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/5_y_angle270.stl,64,True
59,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/5_x_angle270.stl,64,True
60,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/6_z_angle0.stl,64,True
61,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/6_y_angle0.stl,64,True
62,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/6_x_angle0.stl,64,True
63,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/6_z_angle90.stl,64,True
64,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/6_y_angle90.stl,64,True
65,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/6_x_angle90.stl,64,True
66,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/6_z_angle180.stl,64,True
67,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/6_y_angle180.stl,64,True
68,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/6_x_angle180.stl,64,True
69,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/6_z_angle270.stl,64,True
70,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/6_y_angle270.stl,64,True
71,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/6_x_angle270.stl,64,True
72,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/7_z_angle0.stl,64,True
73,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/7_y_angle0.stl,64,True
74,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/7_x_angle0.stl,64,True
75,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/7_z_angle90.stl,64,True
76,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/7_y_angle90.stl,64,True
77,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/7_x_angle90.stl,64,True
78,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/7_z_angle180.stl,64,True
79,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/7_y_angle180.stl,64,True
80,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/7_x_angle180.stl,64,True
81,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/7_z_angle270.stl,64,True
82,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/7_y_angle270.stl,64,True
83,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/7_x_angle270.stl,64,True
84,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/8_z_angle0.stl,64,True
85,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/8_y_angle0.stl,64,True
86,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/8_x_angle0.stl,64,True
87,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/8_z_angle90.stl,64,True
88,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/8_y_angle90.stl,64,True
89,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/8_x_angle90.stl,64,True
90,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/8_z_angle180.stl,64,True
91,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/8_y_angle180.stl,64,True
92,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/8_x_angle180.stl,64,True
93,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/8_z_angle270.stl,64,True
94,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/8_y_angle270.stl,64,True
95,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/8_x_angle270.stl,64,True
96,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/9_z_angle0.stl,64,True
97,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/9_y_angle0.stl,64,True
98,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/9_x_angle0.stl,64,True
99,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/9_z_angle90.stl,64,True
100,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/9_y_angle90.stl,64,True
101,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/9_x_angle90.stl,64,True
102,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/9_z_angle180.stl,64,True
103,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/9_y_angle180.stl,64,True
104,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/9_x_angle180.stl,64,True
105,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/9_z_angle270.stl,64,True
106,data/cube/23_Rotated/0_y_angle270.stl,data/cube/23_Rotated/9_y_angle270.stl,64,True
107,data/cube/23_Rotated/0_x_angle270.stl,data/cube/23_Rotated/9_x_angle270.stl,64,True
108,data/cube/23_Rotated/0_z_angle0.stl,data/cube/23_Rotated/10_z_angle0.stl,64,True
109,data/cube/23_Rotated/0_y_angle0.stl,data/cube/23_Rotated/10_y_angle0.stl,64,True
110,data/cube/23_Rotated/0_x_angle0.stl,data/cube/23_Rotated/10_x_angle0.stl,64,True
111,data/cube/23_Rotated/0_z_angle90.stl,data/cube/23_Rotated/10_z_angle90.stl,64,True
112,data/cube/23_Rotated/0_y_angle90.stl,data/cube/23_Rotated/10_y_angle90.stl,64,True
113,data/cube/23_Rotated/0_x_angle90.stl,data/cube/23_Rotated/10_x_angle90.stl,64,True
114,data/cube/23_Rotated/0_z_angle180.stl,data/cube/23_Rotated/10_z_angle180.stl,64,True
115,data/cube/23_Rotated/0_y_angle180.stl,data/cube/23_Rotated/10_y_angle180.stl,64,True
116,data/cube/23_Rotated/0_x_angle180.stl,data/cube/23_Rotated/10_x_angle180.stl,64,True
117,data/cube/23_Rotated/0_z_angle270.stl,data/cube/23_Rotated/10_z_angle270.stl,64,True
