input,target,contact_vertex,set
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/1.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/2.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/3.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/4.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/5.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/6.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/7.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/8.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/9.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/10.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/11.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/12.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/13.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/14.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/15.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/16.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/17.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/18.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/19.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/20.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/21.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/22.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/23.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/24.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/25.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/26.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/27.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/28.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/29.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/30.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/31.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/32.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/33.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/34.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/35.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/36.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/37.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/38.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/39.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/40.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/41.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/42.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/43.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/44.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/45.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/46.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/47.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/48.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/49.stl,278,test
data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/0.stl,data/cube_original/<Vector(-0.1125_-0.0500_0.2000)>/50.stl,278,test
data/cube_original/<Vector(0.1500_0.0500_0.1500)>/0.stl,data/cube_original/<Vector(0.1500_0.0500_0.1500)>/1.stl,338,test
data/cube_original/<Vector(0.1500_0.0500_0.1500)>/0.stl,data/cube_original/<Vector(0.1500_0.0500_0.1500)>/2.stl,338,test
data/cube_original/<Vector(0.1500_0.0500_0.1500)>/0.stl,data/cube_original/<Vector(0.1500_0.0500_0.1500)>/3.stl,338,test
