input,target,contact_vertex,set
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/1.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/2.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/3.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/4.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/5.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/6.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/7.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/8.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/9.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/10.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/11.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/12.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/13.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/14.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/15.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/16.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/17.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/18.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/19.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/20.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/21.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/22.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/23.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/24.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/25.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/26.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/27.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/28.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/29.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/30.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/31.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/32.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/33.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/34.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/35.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/36.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/37.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/38.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/39.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/40.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/41.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/42.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/43.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/44.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/45.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/46.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/47.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/48.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/49.stl,82,test
data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/0.stl,data/duck_dataset/<Vector(0.0194_0.0929_0.0578)>/50.stl,82,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/1.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/2.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/3.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/4.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/5.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/6.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/7.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/8.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/9.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/10.stl,294,test
data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/0.stl,data/duck_dataset/<Vector(0.0451_-0.1453_0.0988)>/11.stl,294,test
